	Abylopsis_tetragona	Acanthoeca_sp	Acropora_digitifera	Agalma_elegans	Aiptasia_pallida	Amphimedon_queenslandica	Aphrocallistes_vastus	Beroe_abyssicola	Beroe_forskalii	Beroe_ovata	Beroe_sp_Antarctica	Beroe_sp_Queensland_Australia	Bolinopsis_ashleyi	Bolinopsis_infundibulum	Bolocera_tuediae	Callianira_Antarctica	Capitella_teleta	Cestum_veneris	Chondrilla_nucula	Cliona_varians	Coeloplana_astericola	Corticium_candelabrum	Craseo_lathetica	Crella_elegans	Ctenophora_sp_Florida_USA	Cydippida_sp	Cydippida_sp_Maryland_USA	Daphnia_pulex	Drosophila_melanogaster	Dryodora_glandiformis	Eunicella_verrucosa	Euplokamis_dunlapae	Eurhamphaea_vexilligera	Hemithris_psittacea	Homo_sapiens	Hormathia_digitata	Hormiphora_californica	Hormiphora_palmata	Hyalonema_populiferum	Hydra_oligactis	Hydra_viridissima	Hydra_vulgaris	Ircinia_fasciculata	Kirkpatrickia_variolosa	Latrunculia_apicalis	Lobata_sp_Punta_Arenas_Argentina	Lobatolampea_tetragona	Mertensiidae_sp_Antarctica	Mertensiidae_sp_Washington_USA	Mnemiopsis_leidyi	Monosiga_brevicolis	Monosiga_ovata	Mycale_phylophylla	Nanomia_bijuga	Nematostella_vectensis	Ocyropsis_crystallina	Ocyropsis_sp_Bimini_Bahamas	Ocyropsis_sp_Florida_USA	Oscarella_carmela	Periphyla_periphyla	Petrosia_ficiformis	Physalia_physalia	Pleurobrachia_bachei	Pleurobrachia_pileus	Pleurobrachia_sp_South_Carolina_USA	Pseudospongosorites_suberitoides	Rossella_fibulata	Salpingoeca_pyxidium	Salpingoeca_rosetta	Spongilla_lacustris	Strongylocentrotus_purpatus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Trichoplax_adhaerens	Vallicula_sp
Abylopsis_tetragona		0.469387755102041	0.4	0.56734693877551	0.56734693877551	0.522448979591837	0.542857142857143	0	0	0	0	0	0.289795918367347	0	0.530612244897959	0	0.56734693877551	0	0.453061224489796	0.56734693877551	0	0	0.56734693877551	0.56734693877551	0	0	0	0.56734693877551	0.56734693877551	0	0.56734693877551	0	0	0.489795918367347	0.56734693877551	0	0	0	0	0	0	0.56734693877551	0	0.56734693877551	0.56734693877551	0	0	0	0	0	0.56734693877551	0.453061224489796	0.56734693877551	0.379591836734694	0.56734693877551	0	0	0	0.551020408163265	0.56734693877551	0.56734693877551	0.469387755102041	0	0	0	0.375510204081633	0.551020408163265	0.559183673469388	0.563265306122449	0.56734693877551	0.56734693877551	0.56734693877551	0.56734693877551	0.551020408163265	0.56734693877551	0
Acanthoeca_sp	0.469387755102041		0.575510204081633	0.857142857142857	0.857142857142857	0.804081632653061	0.824489795918367	0	0	0	0	0	0.440816326530612	0	0.440816326530612	0	0.857142857142857	0	0.73469387755102	0.848979591836735	0	0	0.857142857142857	0.857142857142857	0	0	0	0.857142857142857	0.857142857142857	0	0.857142857142857	0	0	0.391836734693878	0.857142857142857	0	0	0	0	0	0	0.857142857142857	0	0.857142857142857	0.857142857142857	0	0	0	0	0	0.857142857142857	0.73469387755102	0.857142857142857	0.685714285714286	0.816326530612245	0	0	0	0.83265306122449	0.857142857142857	0.857142857142857	0.371428571428571	0	0	0	0.277551020408163	0.83265306122449	0.526530612244898	0.844897959183673	0.857142857142857	0.624489795918367	0.857142857142857	0.812244897959184	0.83265306122449	0.857142857142857	0
Acropora_digitifera	0.4	0.575510204081633		0.636734693877551	0.636734693877551	0.591836734693878	0.612244897959184	0	0	0	0	0	0.355102040816327	0	0.363265306122449	0	0.636734693877551	0	0.551020408163265	0.636734693877551	0	0	0.636734693877551	0.636734693877551	0	0	0	0.636734693877551	0.636734693877551	0	0.636734693877551	0	0	0.322448979591837	0.636734693877551	0	0	0	0	0	0	0.636734693877551	0	0.636734693877551	0.636734693877551	0	0	0	0	0	0.636734693877551	0.551020408163265	0.636734693877551	0.477551020408163	0.6	0	0	0	0.620408163265306	0.636734693877551	0.636734693877551	0.302040816326531	0	0	0	0.236734693877551	0.620408163265306	0.457142857142857	0.63265306122449	0.636734693877551	0.546938775510204	0.636734693877551	0.636734693877551	0.620408163265306	0.636734693877551	0
Agalma_elegans	0.56734693877551	0.857142857142857	0.636734693877551		1	0.946938775510204	0.96734693877551	0	0	0	0	0	0.440816326530612	0	0.538775510204082	0	1	0	0.877551020408163	0.991836734693878	0	0	1	1	0	0	0	1	1	0	1	0	0	0.489795918367347	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0.877551020408163	1	0.804081632653061	0.914285714285714	0	0	0	0.971428571428571	1	1	0.469387755102041	0	0	0	0.375510204081633	0.975510204081633	0.624489795918367	0.987755102040816	1	0.722448979591837	1	0.910204081632653	0.975510204081633	1	0
Aiptasia_pallida	0.56734693877551	0.857142857142857	0.636734693877551	1		0.946938775510204	0.96734693877551	0	0	0	0	0	0.440816326530612	0	0.538775510204082	0	1	0	0.877551020408163	0.991836734693878	0	0	1	1	0	0	0	1	1	0	1	0	0	0.489795918367347	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0.877551020408163	1	0.804081632653061	0.914285714285714	0	0	0	0.971428571428571	1	1	0.469387755102041	0	0	0	0.375510204081633	0.975510204081633	0.624489795918367	0.987755102040816	1	0.722448979591837	1	0.910204081632653	0.975510204081633	1	0
Amphimedon_queenslandica	0.522448979591837	0.804081632653061	0.591836734693878	0.946938775510204	0.946938775510204		0.946938775510204	0	0	0	0	0	0.440816326530612	0	0.485714285714286	0	0.946938775510204	0	0.877551020408163	0.946938775510204	0	0	0.946938775510204	0.946938775510204	0	0	0	0.946938775510204	0.946938775510204	0	0.946938775510204	0	0	0.444897959183673	0.946938775510204	0	0	0	0	0	0	0.946938775510204	0	0.946938775510204	0.946938775510204	0	0	0	0	0	0.946938775510204	0.877551020408163	0.946938775510204	0.804081632653061	0.861224489795918	0	0	0	0.942857142857143	0.946938775510204	0.946938775510204	0.424489795918367	0	0	0	0.375510204081633	0.946938775510204	0.587755102040816	0.946938775510204	0.946938775510204	0.669387755102041	0.946938775510204	0.857142857142857	0.946938775510204	0.946938775510204	0
Aphrocallistes_vastus	0.542857142857143	0.824489795918367	0.612244897959184	0.96734693877551	0.96734693877551	0.946938775510204		0	0	0	0	0	0.440816326530612	0	0.506122448979592	0	0.96734693877551	0	0.877551020408163	0.96734693877551	0	0	0.96734693877551	0.96734693877551	0	0	0	0.96734693877551	0.96734693877551	0	0.96734693877551	0	0	0.46530612244898	0.96734693877551	0	0	0	0	0	0	0.96734693877551	0	0.96734693877551	0.96734693877551	0	0	0	0	0	0.96734693877551	0.877551020408163	0.96734693877551	0.804081632653061	0.881632653061225	0	0	0	0.963265306122449	0.96734693877551	0.96734693877551	0.444897959183673	0	0	0	0.375510204081633	0.96734693877551	0.608163265306122	0.96734693877551	0.96734693877551	0.689795918367347	0.96734693877551	0.877551020408163	0.96734693877551	0.96734693877551	0
Beroe_abyssicola	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_forskalii	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beroe_ovata	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
